;coordinates;geometry;buffer
0;origin;POINT (114569.18471462533 486057.5299743017);POLYGON ((114639.18471462533 486127.5299743017, 114639.18471462533 485987.5299743017, 114499.18471462533 485987.5299743017, 114499.18471462533 486127.5299743017, 114639.18471462533 486127.5299743017))
1;destination;POINT (114758.13477273691 486527.6638289871);POLYGON ((114828.13477273691 486597.6638289871, 114828.13477273691 486457.6638289871, 114688.13477273691 486457.6638289871, 114688.13477273691 486597.6638289871, 114828.13477273691 486597.6638289871))
