;coordinates;geometry;buffer
0;origin;POINT (114777.75384873347 485945.659496017);POLYGON ((114847.75384873347 486015.659496017, 114847.75384873347 485875.659496017, 114707.75384873347 485875.659496017, 114707.75384873347 486015.659496017, 114847.75384873347 486015.659496017))
1;destination;POINT (114577.99391709699 486404.7024048023);POLYGON ((114647.99391709699 486474.7024048023, 114647.99391709699 486334.7024048023, 114507.99391709699 486334.7024048023, 114507.99391709699 486474.7024048023, 114647.99391709699 486474.7024048023))
